作物名称,地块类型,每亩利润
刀豆,普通大棚 ,14000.0
刀豆,水浇地,11666.6666666667
包菜,普通大棚 ,24250.0
包菜,智慧大棚,26490.0
南瓜,山坡地,3274.99999999999
土豆,水浇地,5000.0
大白菜,水浇地,9666.66666666665
大麦,梯田,1441.66666666666
小青菜,普通大棚 ,20000.0
小青菜,智慧大棚,21560.0
小青菜,水浇地,16000.0
小麦,山坡地,2130.0
小麦,平旱地,2416.66666666666
小麦,梯田,2273.33333333333
榆黄菇,普通大棚 ,281375.0
水稻,水浇地,2903.33333333333
油麦菜,普通大棚 ,21333.3333333334
爬豆,梯田,2365.625
玉米,平旱地,2583.33333333333
玉米,梯田,2429.16666666666
生菜,普通大棚 ,23000.0
生菜 ,智慧大棚,24800.0
白灵菇,普通大棚 ,148333.333333333
白萝卜,水浇地,8833.33333333332
空心菜,智慧大棚,47300.0
红萝卜,水浇地,8500.0
红薯,山坡地,4750.0
红豆,山坡地,2665.0
红豆,梯田,2832.5
绿豆,平旱地,2158.33333333333
绿豆,梯田,2015.0
羊肚菌,普通大棚 ,88333.3333333333
芸豆,普通大棚 ,19200.0
芸豆,智慧大棚,20400.0
芹菜,智慧大棚,25600.0
茄子,普通大棚 ,40266.6666666666
茄子,智慧大棚,43440.0
茄子,水浇地,32133.3333333333
荞麦,山坡地,3816.66666666667
莜麦,梯田,1833.33333333333
菜花,普通大棚 ,18333.3333333333
菜花,智慧大棚,19740.0
菠菜 ,智慧大棚,16600.0
西红柿,普通大棚 ,15100.0
西红柿,智慧大棚,16260.0
西红柿,水浇地,12000.0
谷子,平旱地,2390.0
谷子,梯田,2252.5
豇豆,普通大棚 ,25200.0
豇豆,智慧大棚,26800.0
豇豆,水浇地,21000.0
辣椒,普通大棚 ,12466.6666666667
青椒,普通大棚 ,12500.0
青椒,智慧大棚,15260.0
香菇,普通大棚 ,73666.6666666668
高粱,梯田,3250.0
黄心菜,智慧大棚,25330.0
黄瓜,普通大棚 ,96500.0
黄瓜,智慧大棚,104150.0
黄豆,山坡地,815.0
黄豆,平旱地,950.0
黄豆,梯田,882.5
黍子,梯田,3473.33333333333
黑豆,梯田,3241.66666666667
