Crop,2023亩产量,2024亩产量,2025亩产量,2026亩产量,2027亩产量,2028亩产量,2029亩产量,2030亩产量
刀豆,10.4544,11.02036447,11.25045814,,,,,
包菜,0.7128,0.664454387,0.782164194,,,,,
南瓜,10.296,10.30065274,9.930541259,,,,,
土豆,11.88,11.88384758,10.90763562,,,,,
大白菜,23.76,24.07109244,22.14448975,,,,,
大麦,15.84,15.02491773,17.28373554,,,,,
小青菜,8.6328,9.027454019,8.352686042,,,,,
小麦,175.824,177.1817143,177.1817143,,,,,
榆黄菇,1.4256,1.395505871,1.391653097,,,,,
水稻,33.264,35.33569077,36.18131361,,,,,
油麦菜,0.7128,0.690716544,0.753175196,,,,,
爬豆,19.8,21.72174252,20.59259785,,,,,
玉米,106.92,110.417665,110.417665,,,,,
生菜 ,0.2376,0.247800383,0.225626318,,,,,
白灵菇,1.4256,1.304485092,1.383532884,,,,,
白萝卜,19.8,19.59259881,18.63666481,,,,,
空心菜,0.2376,0.219357546,0.247688875,,,,,
红萝卜,9.504,9.994533307,8.959914197,,,,,
红薯,14.256,13.47538558,14.33448957,,,,,
红豆,47.52,45.48533596,49.31625563,,,,,
绿豆,76.032,70.81607268,77.81366248,,,,,
羊肚菌,3.3264,3.433942744,3.327294851,,,,,
芸豆,1.4256,1.538252836,1.468416447,,,,,
芹菜,0.2376,0.235480808,0.256907414,,,,,
茄子,5.4648,5.760684855,5.203745967,,,,,
荞麦,11.88,11.84737413,12.50239903,,,,,
莜麦,27.72,28.90280863,26.68383352,,,,,
菜花,0.7128,0.713304354,0.775595974,,,,,
菠菜 ,0.2376,0.250580066,0.255866947,,,,,
西红柿,11.8008,12.65618023,11.07766285,,,,,
谷子,146.52,132.7282366,151.7388945,,,,,
豇豆,9.3456,8.740397115,10.0519163,,,,,
辣椒,0.4752,0.48207185,0.443860291,,,,,
青椒,0.7128,0.735018452,0.701814268,,,,,
香菇,1.4256,1.495894419,1.460992744,,,,,
高粱,39.6,40.68288779,39.29320567,,,,,
黄心菜,0.2376,0.238509208,0.259241698,,,,,
黄瓜,0.7128,0.716809785,0.773128113,,,,,
黄豆,116.424,119.1107077,119.1107077,,,,,
黍子,19.8,20.08456755,17.83129638,,,,,
黑豆,36.432,36.32906028,32.90129852,,,,,
